Enter user ID (e.g., 2): video=2.mp4 t=0.266s | yaw=0.00 | pitch=-13.00
video=2.mp4 t=0.366s | yaw=-3.00 | pitch=-13.00
video=2.mp4 t=0.466s | yaw=-7.00 | pitch=-16.00
video=2.mp4 t=0.566s | yaw=-9.00 | pitch=-18.00
video=2.mp4 t=0.667s | yaw=-10.00 | pitch=-20.00
video=2.mp4 t=0.767s | yaw=-10.00 | pitch=-22.00
video=2.mp4 t=0.868s | yaw=-10.00 | pitch=-23.00
video=2.mp4 t=0.969s | yaw=-9.00 | pitch=-24.00
video=2.mp4 t=1.069s | yaw=-9.00 | pitch=-24.00
video=2.mp4 t=1.170s | yaw=-9.00 | pitch=-25.00
video=2.mp4 t=1.270s | yaw=-8.00 | pitch=-25.00
video=2.mp4 t=1.371s | yaw=-8.00 | pitch=-25.00
video=2.mp4 t=1.471s | yaw=-8.00 | pitch=-25.00
video=2.mp4 t=1.572s | yaw=-8.00 | pitch=-26.00
video=2.mp4 t=1.672s | yaw=-8.00 | pitch=-26.00
video=2.mp4 t=1.773s | yaw=-8.00 | pitch=-26.00
video=2.mp4 t=1.873s | yaw=-8.00 | pitch=-26.00
video=2.mp4 t=1.974s | yaw=-8.00 | pitch=-26.00
video=2.mp4 t=2.074s | yaw=-8.00 | pitch=-26.00
video=2.mp4 t=2.175s | yaw=-8.00 | pitch=-27.00
video=2.mp4 t=2.278s | yaw=-8.00 | pitch=-27.00
video=2.mp4 t=2.379s | yaw=-8.00 | pitch=-27.00
video=2.mp4 t=2.480s | yaw=-9.00 | pitch=-27.00
video=2.mp4 t=2.580s | yaw=-10.00 | pitch=-25.00
video=2.mp4 t=2.681s | yaw=-12.00 | pitch=-23.00
video=2.mp4 t=2.781s | yaw=-15.00 | pitch=-22.00
video=2.mp4 t=2.882s | yaw=-19.00 | pitch=-23.00
video=2.mp4 t=2.982s | yaw=-24.00 | pitch=-23.00
video=2.mp4 t=3.083s | yaw=-32.00 | pitch=-24.00
video=2.mp4 t=3.183s | yaw=-39.00 | pitch=-24.00
video=2.mp4 t=3.284s | yaw=-45.00 | pitch=-24.00
video=2.mp4 t=3.384s | yaw=-50.00 | pitch=-25.00
video=2.mp4 t=3.484s | yaw=-54.00 | pitch=-25.00
video=2.mp4 t=3.585s | yaw=-56.00 | pitch=-27.00
video=2.mp4 t=3.685s | yaw=-57.00 | pitch=-29.00
video=2.mp4 t=3.786s | yaw=-57.00 | pitch=-32.00
video=2.mp4 t=3.886s | yaw=-57.00 | pitch=-34.00
video=2.mp4 t=3.987s | yaw=-57.00 | pitch=-36.00
video=2.mp4 t=4.087s | yaw=-57.00 | pitch=-37.00
video=2.mp4 t=4.188s | yaw=-57.00 | pitch=-38.00
video=2.mp4 t=4.288s | yaw=-57.00 | pitch=-38.00
video=2.mp4 t=4.390s | yaw=-58.00 | pitch=-38.00
video=2.mp4 t=4.501s | yaw=-58.00 | pitch=-38.00
video=2.mp4 t=4.602s | yaw=-58.00 | pitch=-38.00
video=2.mp4 t=4.702s | yaw=-59.00 | pitch=-38.00
video=2.mp4 t=4.803s | yaw=-59.00 | pitch=-37.00
video=2.mp4 t=4.903s | yaw=-62.00 | pitch=-33.00
video=2.mp4 t=5.004s | yaw=-66.00 | pitch=-29.00
video=2.mp4 t=5.104s | yaw=-69.00 | pitch=-25.00
video=2.mp4 t=5.205s | yaw=-71.00 | pitch=-22.00
video=2.mp4 t=5.306s | yaw=-73.00 | pitch=-19.00
video=2.mp4 t=5.406s | yaw=-75.00 | pitch=-17.00
video=2.mp4 t=5.508s | yaw=-77.00 | pitch=-15.00
video=2.mp4 t=5.619s | yaw=-79.00 | pitch=-14.00
video=2.mp4 t=5.719s | yaw=-81.00 | pitch=-13.00
video=2.mp4 t=5.820s | yaw=-83.00 | pitch=-12.00
